en,zh
This poor man was just fired by his boss.,佢啱啱俾老細炒咗，真係慘慘豬。
There has been an uptick in robberies recently. Citizens should be more alert.,近期劫案增加，市民要提高警覺。
This lotus colour is special.,呢朵荷花嘅色好特別。
Some trains are used for carrying pigs.,有啲火車係用嚟運載豬隻嘅。
Kazakhstan is undergoing many road works and it is easy to get into dead ends.,哈薩克近排好多修路，四圍都係倔頭路好易中伏。
You are so cunning that no one can be more cunning than you.,你真係好狗，冇人狗得過你。
The scenery at the Grand Canyon in the United States is magnificent.,美國嘅大峽谷景色壯觀。
I eat two fried eggs every morning.,我每朝早餐都會食煎雙蛋。
His outstanding football skills attracted a lot of people to see the match.,佢超卓嘅球技吸引到好多人嚟睇波。
This's a dad joke, why you are laughing?,呢個爛gag嚟㗎喎，噉都有得笑？
My younger sister attends a single-sex school. She's eighteen now but has never talked to any boys.,我個妹讀齋校㗎，十八歲都未同過男仔傾計。
I explained it so carefully and still didn't understand. What a waste of breath!,講得咁清楚佢都唔明，真係嘥氣！
He arrived shortly after my arrival.,我到咗冇幾耐佢就嚟到嘞。
Studies find that pangolins are potential intermediate hosts of the new virus.,研究發現穿山甲係新病毒潛在嘅中間宿主。
Mother feels happy when she gazes at the family portrait.,媽媽凝望住張全家福，覺得好幸福。
This boss requests his employees to finish their tasks on time even when they are sick. It's almost inhumane!,就算員工病咗，呢個老細都迫佢哋要準時交功課，真係好唔人道！
If you don't upgrade this skill, it wouldn't be able to inflict much damage.,你呢招如果唔升級，冇咩殺傷力㗎喎。
He speaks in a lively and interesting manner. It's nice to listen to him.,佢講嘢幾生鬼㗎喎。聽佢講嘢幾開心。
Who is responsible for this case?,邊個係呢件案嘅經手人？
There's a big event coming up, so a series of intensive rehearsals have been scheduled 2 months prior.,嚟緊因為有個大型event，所以喺活動前兩個月就開始有一連串密集式嘅排練。
I missed yesterday's talk.,我miss咗噚日場講座。
We must defend our home with all our might against foreign enemies!,面對外敵，我哋必須竭力保衞我哋嘅家園！
The group holds an active attitude towards cooperation.,組織對合作抱積極態度。
How courteous of you to give me these many presents.,你太客氣喇，送咁多嘢俾我。
He has spent three years writing this book.,佢用咗三年時間寫呢本書。
Ah Lok has a successful career, is a kind-hearted person, and respects his parents. He's really a good man.,阿樂事業有成，心地又好，又孝順父母，真係一個好男仔嚟㗎。
Don't stare at her, she's a shy girl.,唔好望住啦，人哋女仔嚟㗎，幾唔好意思呢。
Some newly-weds think that great banquets are way too extravagant.,有啲新人嫌大排筵席太過鋪張。
The share price of the company rises to near 100 dollars.,公司股價升到挨近一百蚊。
Remember to invite me to your wedding banquet when you get married.,第日結婚嗰陣，記得請我飲呀！
Those two gangs was fighting for territory, and is now having a reconciliation dinner in that restaurant.,兩個幫派之前爭地盤爭到開晒片，而家響呢間酒樓度飲和頭酒。
There are few taxi driver strikes these days. Worst case they just drive slowly.,的士而家好少罷駛，最多慢駛。
The misprint in his article is really countless.,佢篇文啲錯字真係多不勝數。
The company is doing their marketing badly.,呢間公司啲marketing好唔掂。
They hung down a rope from the tree.,佢哋喺樹度髧咗條繩落嚟。
This horse racing guide gives poor betting tips!,份馬經都貼得唔準嘅！
The moistened desiccant beads change their colour.,防潮珠受潮之後變咗色。
My family owns three cars and two flats.,我屋企有三架車，兩層樓。
I wish you a happy new year and be safe as always.,祝你新年快樂，出入平安！
You have gone way over the budget, there is no way the accounting department is accepting this.,喂你超晒budget喎，會計嗰邊實彈返轉頭㗎。
He dances beautifully. The judges are happy with his performance.,佢擁有非凡嘅舞藝，評審好滿意佢嘅表現。
No thanks. I can't sleep if I drink caffeinated stuff at night.,唔喇，我夜晚飲有咖啡因嘅嘢會瞓唔着。
Have you naughty pests scream enough? Can you guys just sit down and do some reading for a moment?,你班嘩鬼嘈夠未呀？靜一陣温下書得唔得？
The protesters marched from the Victoria Park to the Central Government Offices.,示威人士由維園出發遊行到政府總部。
There is no fucking need to go buy pussies as nowadays girls are expected to do blow and rim jobs during sex.,依家仲撚使去叫雞嘅？條條女至少要玩三味都梗㗎啦。
The air is thin on the highland and it's easy to get Acute Mountain Sickness there.,高原上嘅空氣比較稀薄，好易有高山症。
He is passionate about his work.,佢對佢份工充滿熱誠。
You're going to study abroad by yourself, remember to exercise self-restraint.,你自己一個人去外國讀書，生活要自律啊。
We have to hoe this piece of land before we sow seeds.,要鋤鬆啲泥先可以播種㗎。
The typhoon is coming, the Observatory said no. 8 typhoon signal will be hoisted two hours later.,個風殺到嚟喇，天文台話兩個鐘後掛八號。
The fans asking for their idols autographs moves like a swarm of bees.,啲歌迷一窩蜂走埋去叫佢簽名。
I have tried many times, but I still get stuck in this level of the game.,我呢關打極都過唔到，棘住咗喺度啊！
Very busy these days, quite a lot of this and that.,呢排做嘢好忙呀，好多濕星嘢要跟。
Seeing that dawn is coming, but my work is not fully done yet.,眼見天就快光，但我份功課仲未做好。
Do we have steamed peach buns at grandpa's decadeversary?,去阿爺度拜大壽有冇壽包食？
He always has the delusion that he could dig up treasures underground.,佢成日妄想會喺地下挖掘到寶藏。
Does anyone here have the 2016 examination papers for the Chinese subject?,請問有冇巴打有2016年中文paper？
You are always arguing. Don't you feel bored?,你哋一見面就鬥嘴，唔煩架？
It's every man for himself. If you suck, you get eliminated. That's just how society works.,弱肉強食，你廢，咪會俾人淘汰囉，個社會就係噉㗎啦。
In general, we need around four to eight weeks to process the claim.,一般嚟講，理賠過程大概需要四至八個星期先會完成。
Computers use binary to represent numbers.,電腦用二進制表示數字。
The most important thing for making friends is to be sincere.,交朋結友最緊要真誠。
I've betted a lot of money on this horse.,我落重本買呢隻馬跑贏㗎。
I would like to take this opportunity to thank my teacher.,我想趁呢個機會多謝我老師。
The previous horse race ended unexpectedly.,頭先場馬真係爆冷門！
This introduction to the principles of criminal psychology is useful.,呢本犯罪心理學概論好有用。
The car was parked here just for a while and it's already covered with bird droppings.,架車泊咗喺度一陣，已經搞到成個車面都係雀屎。
State officials are allowed to set fire, yet civilians are not allowed to light lamps.,只准州官放火，不准百姓點燈。
I pay for your food and rent; if you insist on not paying me back, get lost!,你食我嘅，住我嘅；你再唔畀翻個錢我，你就扯罷啦你！
The editor would like me to put an illustration in an article.,編輯想我幫篇文配圖。
My phone battery runs out fast so bringing external chargers when I go out is a must.,我部電話啲電用得好快，出親街一定要帶尿袋。
The spokesperson kept dancing around the issue when pressed with sensitive questions.,問到敏感問題嗰陣，個發言人就係咁遊花園。
After seeing the film he starred in was such a big hit, he decided to follow it up by branching out into singing.,佢見到自己部電影好收得，決定乘勝追擊進軍樂壇。
From carrying her bags and paying her bills, to doing her university schoolwork and taking care of her daily chores, all of those had to be done by her boyfriend. Her princess syndrome is really severe.,佢由出街拎袋、食飯埋單、到大學功課同日常生活都要男朋友一腳踢，真係有好嚴重嘅公主病。
Without you by her side, how could she really be happy?,你唔喺佢身邊，佢開鬼心呀！
You'd better think about it carefully. It's inevitable.,今晚你都係攝高枕頭吧啦！避唔到㗎喇。
You can get there by taking either the train or the bus.,你搭火車或者巴士都得。
She has a sad life, her parents passed when she was just born.,佢身世好慘，一出世就冇父母。
Although he was cured from a serious illness, he is still very weak.,大病一場之後，佢雖然好返，但係身體重係好虛弱。
When some girls pout, people come to offer help immediately.,有啲女仔一扁嘴扮慘，就有人幫佢哋完成一切。
It takes an hour to go to the airport from here.,由呢度去機場要一個鐘。
After watching the movie Young and Dangerous, he has developed a yearning to the underworld.,佢睇完《古惑仔》電影之後，有一份江湖情。
In case something bad happens, call me immediately.,有乜依郁，第一時間打俾我。
Who wants to have hot-pot? That's me.,邊個想打邊爐？之唔係我喳嘛。
The faith of the citizens towards the government is nibbling away at a spate of scandals.,接二連三嘅醜聞蠶食緊市民對政府嘅信心。
The damage was far more serious than I had initially thought.,個損毀比當初諗嘅嚴重。
Upon entering a Japanese restaurant, the waiter will greet you with a "welcome.",一入日本餐廳啲侍應會叫21314。
Grandpa goes to a teahouse to eat dim sum every morning.,阿公朝朝都會去酒樓飲茶。
He walked all over the opponent in the whole game, I guest there's no way he can lose.,佢成場比賽都壓住對手打，今次冇得輸啦。
He's been injured for quite a long time.,佢受傷已經有一段好長嘅時間。
We gather with our families and friends to celebrate the Chinese New Year when we are overseas.,我哋喺外國都會同屋企人、朋友聚埋一齊賀年。
The space has been occupied for ten years.,呢個空間俾人佔用咗十年。
He is a loner and is not sociable, and that is why he does not have a lot of friends.,佢鍾意獨來獨往，好唔合群，所以冇乜朋友。
As soon as he was born, he has destined to mourn his mother's death.,佢一出世就剋死咗佢阿媽。
That girl is really materialistic, she only dates rich guys.,條女好拜金㗎，專揀有錢仔拍拖。
This is the only food we have left, remember to save it and eat sparingly.,呢度係我哋僅餘嘅食物，記得要慳住食
Rose, rose, I love you!,玫瑰，玫瑰，我愛你！
Don't stay on your seat for whole day, stand up and move around!,唔好淨係坐係個位度，要起身郁動下。
This guesthouse is really dodgy. I don't know if the tap water is even clean enough to wash your hands with.,呢間賓館真係好污糟，連啲水都唔知可唔可以用嚟洗手。
This long gown is expensive, and outdated too!,件長衫 揦脷兼夾老土！
Whoa, that's one beautiful hut! I wouldn't mind living there completely cut off from the world for a month.,嘩，間草屋咁靚，要我入去做一個月深山野人我唔拘呀。
Three more hours before lunchtime, so I had an egg tart to feel a little less peckish.,我見仲有三個鐘先至放lunch，咪食件蛋撻晾下肚囉。
Have you managed to meet your new boss yet?,你見到你個新老細未呀？
This red minibus is faster than the bus even it takes the local road.,呢架紅van行下路都快過巴士。
I feel bloated because of overeating.,食得太多嘢個肚脹晒。
You are not a machine. Get some rest if you feel tired!,你唔係機器嚟㗎，攰就抖下啦！
There have been huge strides in the medical sciences.,醫學嘅發展一日千里。
There has been an upward trend in the rate of juvenile delinquency.,青少年嘅犯罪率有上升嘅趨勢。
The Second World War has had a far-reaching impact on us.,第二次世界大戰對我哋有深遠嘅影響。
Mrs. Chan next door lives a pitiful life. I heard that her husband never pays her any attention because he keeps a mistress on the side.,隔籬屋個陳師奶好慘㗎，聽講佢老公喺出面收埋咗個二奶，所以成日唔理佢。
Could you please tidy up your appearance before going out!,好心你執吓個樣先出街啦！
Greece, which is on the verge of bankruptcy, is seeking help from Russia.,面臨破產嘅希臘會求取俄羅斯嘅幫助。
You are always late and you are late for two hours today. That's really outrageous!,你平時已經成日遲到，今日仲遲咗兩個鐘，真係離譜！
Those naughty teenagers are wantonly destroying the park.,啲街童喺度大肆破壞個遊樂場。
The only purpose for Ah-hiu to eat is filling her stomach.,阿曉食嘢只係為咗撐飽自己。
I can smell dad's smelly socks as soon as he steps into home.,老豆一返到屋企我就聞到佢對襪又酸又臭。
These two countries just signed a pact and ended the war.,呢兩個國家啱啱簽訂咗條約，結束咗戰爭。
There is a traffic accident ahead, so we need to make a detour.,前面有交通意外，所以我哋要兜路。
I heard that if one looks at a shooting star while making a wish, that wish will come true.,聽講望住流星許願會成真。
Guests, please take your seats according to your seat numbers.,請各位嘉賓按座號入席。
My father had a close shave in this car accident. Luckily, he was safe.,阿爸喺今次車禍度死裏逃生，保住咗條命。
Cheating goes against my principles.,出貓呢個行為有違我嘅原則。
My mum cooked my favourite button mushroom tonight!,媽媽今晚煮咗我最鍾意食嘅蘑菇呀！
After travelling a long way to get here, I just knew the shop doesn't open today.,咁遠水路嚟到呢度，先知道間嘢冇開門。
Mum likes eating Chiu Chow style dumplings, but I don't like them much.,阿媽好鍾意食粉果，但係我就麻麻哋。
He always talks with barbed words. He praised me for mincing no words, but was in fact saying that I speak off the cuff.,佢成日講嘢有骨。話我夠直，其實話我講嘢唔經大腦。
This triad leader has many lackeys working for him.,呢個黑幫大佬有好多走狗幫佢做嘢㗎。
The professionals are still feeling out the background of this new online media.,班行家仲摸緊呢間新網媒究竟咩底。
I've long been off duty already, would you leave now?,我夠鐘趯更喇，你肯走未呀？
If I don't go home now, I'll be scolded by my wife.,我再唔返去就會俾老婆小。
All the seafood accords with market price only. Should you ask about the actual price before ordering?,啲海鮮全部都淨係標住時價喎，你使唔使問清楚價錢先嗌啊？
Every time we see each other, it's either shopping or eating or watching movies. I don't know about you, but it really bores me.,次次都係行街睇戲食飯，你唔悶我都悶啦。
Take your seat, we are going to have our meal!,快啲坐埋嚟，我哋開餐喇！
The bakery store is hosting a discount cake sale up to 20% off.,前面間餅店做緊蛋糕八折。
There has been a "Curse of Penis Removal" circulating on the internet that, if you wager your penis on a team to win, that team would lose.,網上流傳一個「切柒魔咒」，如果你打賭邊隊唔贏你就切柒，嗰隊就會輸。
Any sis will also go to this event?,呢個活動有冇sis都會去？
The police found a large amount of cocaine in his luggage.,警方喺佢嘅行李入便揾到大量可卡因。
Ah Yuen isn't very attractive and popular with the ladies.,阿源其貌不揚，無乜異性緣。
The plane leaves at 8.00 p.m.,架飛機夜晚八點鐘起飛。
The stock market is short of capital right now, everyone is expecting the government to proceed quantitative easing soon.,股市呢排水緊，個個都望政府放水。
I heard that he was deep in debt, and fled to the mainland to hide from his creditors.,聽講佢爭人周身債，上個月着咗草返大陸。
He and his rich family live in a western-style family and keeps an exotic dog.,佢家境好富裕，住洋樓養番狗。
There are some morons at the entrance saying that they want to see you.,門口度有幾條茂利話要揾你喎。
I remember that it was less hot in years before.,我記得往年冇咁熱㗎。
You can get a panoramic view of the Victoria harbour from the Peak.,喺太平山上，你可以睇到維多利亞港嘅全貌。
Having such a farce is really very disgraceful.,做場咁嘅馬騮戲真係好肉酸囉。
The core of this problem is the lack of capital.,呢個問題嘅核心在於資金不足。
Did you win the Mark Six? You are smiling very broadly.,你中咗六合彩呀？笑到四萬咁口。
That guy has tattoos all over his body. He looks like he want to murder someone.,呢個人成身紋身，殺氣好大。
If you work like that not only will you not help him, on the contrary you will be a hindrance.,你噉做唔單止幫唔到佢，反而會阻住佢𠻹！
How are people going to like you if you always wear a scowl on your face?,你成日都口黑面黑噉，邊有人會鍾意你啫？
How could you make the business break even with just a few customers?,客仔得嗰 小貓三四隻，點維到皮？
Nobody can go anywhere because of the lockdowns.,封城搞到大家冇埞去。
This job requires one to be tolerant of harsh working conditions.,呢份工要抵得辛苦至得。
She has vowed for many times that she would slim down and thus never eat anything fatty, but she still has a fried chicken thigh every week. She can't keep her commitment.,佢講過好多次話要減肥同唔再食肥膩嘢，結果個個禮拜都食炸雞髀，真係姣婆守唔到寡！
The objective of fair trade is to free farmers from exploitation.,推廣公平貿易嘅目的就係希望農民不再被人壓榨。
This machine can be used to play DVDs.,呢部機可以睇DVD㗎。
I tend to put local interests first.,我不嬲都傾向利益以本土為依歸呢個諗法。
The company's profit increased 3% the second half of the year from the first half of the year.,下半年公司嘅利潤比上半年上升百分之三。
You are so ambitious. You are going to have a hard time finding a job.,心頭咁高，好難揾工㗎你。
It's not easy to buy a bottle of bleach these days. Many citizens have no alternative but to buy at several times the usual price.,最近連買枝漂白水都唔易，好多市民都迫住捱貴幾倍炒價。
Hey, here's a ladder that leads to the roof.,呢度有條梯可以上到去天台喎。
How come you speak so not fluently?,乜你講句嘢都講到甩甩咳咳㗎！
Only writing 500 words? That's easy as pie.,寫五百字之嘛，易過食生菜啦！
Great Hall of the People has a tremendous momentum.,人民大會堂嘅氣勢好雄偉。
This guy is so irresponsible. He doesn't do anything unless you keep pushing him.,呢條友踢一踢就郁一郁，好冇交帶。
Let me confirm the contract with you first.,同你confirm返份contract先。
This kind of plant is heat-tolerant, so it can grow in deserts.,呢種植物耐熱，所以可以喺沙漠生長。
It's not their first time having outdoor sex.,佢哋都唔係第一次玩野戰啦。
Kyoto is suffering from overtourism, buses are full of passengers all day long.,京都早已人滿為患，巴士由朝到晚都滿座。
He is still alive, why are you always saying that he is dead?,啋，佢仲在生㗎，做咩成日話人死咗啫？
She has many thoughts on this case.,佢對呢件事有好多想法。
There is a Chinese New Year parade every year.,每年新年香港都會有花車巡遊。
The minibus driver drove straight through a red light and was then stopped by a police car.,個小巴司機衝紅燈，跟住俾架警車截停咗。
There are now a lot of accessible facilities in MTR stations. Even wheelchair users can access them easily.,而家好多港鐵站都有無障礙設施，坐輪椅嘅人都用到。
The police placed a million dollar bounty on that fugitive's head, he must be a most-wanted.,警方懸紅一百萬緝拿呢個要犯歸案。
I know him! Wherever Mr Siu goes he is always following around.,我認得佢！佢係蕭生啲傍友嚟𠺢嘛。
A certain country always makes devious plans to make some island their own domain.,某國成日都處心積慮將某島納入自己嘅版圖。
I went to Sri Lanka last month, I followed a local guide, and I had a lot of great food.,我上個月去斯里蘭卡跟住個當地人嚮導周圍捐窿捐罅揾嘢食，食咗好多正嘢。
I'm just an ordinary employee. I have no power nor influence.,我只係普通嘅上班一族，無權無勢。
The penalties of conviction of drug driving include imprisonment for 3 years.,藥後駕駛嘅罰則包括監禁三年。
You don't have to shoulder the responsibility yourself. We would turn ourselves in.,你唔使自己攬晒上身，我哋都會去自首。
Delegating the power is one way for management.,權力下放係其中一個管理手法。
I spent four hours hiking yesterday. And today, my soles hurt.,琴日行咗四個鐘頭山，今日腳板底好痛。
You have too much to say for my going out.,出吓街你都喺度嘈生晒。
What I said just now was just to comment on the issues, nothing personal against you guys, so no hard feelings, please.,我頭先講嗰番話，係對事不對人，希望各位唔好介意。
After the handover, the living standard in Hong Kong is getting worse.,回歸之後香港嘅生活越嚟越差。
The space telescope can observe celestial bodies in outer space.,太空望遠鏡可以觀測外太空嘅星體。
How hypocritical it is for the government to sponsor cultural development, yet worried about opposition from intellectuals.,政府又要資助文化發展，但又怕文化人羽翼長成就作反，呢啲咪葉公好龍囉。
This brand of washing powder can clean oil stain very well.,呢隻洗衣粉去油漬唔錯。
He's very careful at work and seldom makes mistakes.,佢做嘢好小心，冇乜錯失。
He has been chatting on phone for an hour.,佢傾電話傾咗成個鐘。
It's been tough for us to get over the challenges all along. We must win in the final!,我哋咁難得先可以過五關斬六將，決賽許勝不許敗！
Beat the winter cold with a cushion.,冬天凍冰冰，最啱攬住個咕𠱸。
I am omniscient. I can answer whatever you ask.,我係個通天曉嚟㗎，你問乜我都識。
Although she lost in the singing contest, she won the champion in Miss Hong Kong Pageant.,佢參加歌唱比賽雖然落選，但係佢贏咗香港小姐冠軍。
The man was heavily indebted to bookmakers.,嗰個男人欠落一身賭債。
The several people in the room were in a confused state. They might have just had a large amount of alcohol.,房入面幾個人神智不清，可能飲過好多酒嚟。
Making a fortune? One should be blissful that it still survives!,賺大錢？做得住都偷笑啦！
The airline company upgraded my flight to business class for free.,航空公司免費upgrade咗我做商務客位。
Hey, your fly is down. Go fix it in the bathroom, we're going to meet some clients soon!,喂，你火車未到站喎，去廁所搞搞佢先啦，陣間仲要見客㗎！
His/her home has 1000Mbps broadband internet.,佢屋企有1000Mbps寬頻上網。
Bertrand Russell is regarded as one of the greatest analytic philosophers of the 20th century.,伯特蘭‧羅素被認為係二十世紀最偉大嘅分析哲學家之一。
Zhengyi Taoist priests recite sacred texts with musical accompaniment.,喃嘸師傅喺樂聲伴奏下誦經。
This project aims to train children.,呢個計劃嘅目的係培訓幼苗。
The queue snakes around here, we'd better come here next day.,條人龍打晒蛇餅喎，都係第二日再嚟過啦。
Only can we tolerate injustice in our surroundings?,我哋對於身邊嘅不公義，唔通就只可以逆來順受？
She held back her tears throughout the entirety of her mom's funeral.,佢響阿媽個喪禮嗰度成程都強忍住淚水。
Your old injuries have not healed yet so don't push yourself when you feel pain from running.,你舊患未好返晒，跑跑下覺得痛嘅話唔好死頂啊。
A tsunami came soon after the earthquake.,地震發生之後，隨即引起海嘯。
Kimchi is an essential side dish when eating Korean cuisine.,食韓國餐一定要有泡菜做配菜。
It's indeed not proper to wear an off-shoulder top to work.,你著露膊衫返工著實唔係幾適合。
Insurance companies might not pay your compensation on time.,保險公司有機會會拖欠賠償。
I suggest they not install broadband, dial-up internet connection speed is enough.,我勸佢哋唔好裝寬頻，56k已經夠。
We try to be peaceful and see how things go on. Only if it fails, we resort to violent means.,我哋先禮而後兵，睇吓點先再算。
I wrote him a cheque for $500.,我開咗張五百蚊嘅支票俾佢。
Most Disney films are suitable for all ages.,迪士尼嘅電影多數都係老少咸宜嘅。
[ChatGPT]The teacher stood up straight and taught us how to do exercises.,老師叉起條腰教我哋做運動
Be quick. Don't delay and miss the auspicious timing.,快手啲，唔好耽誤吉時啊。
He is having a 41 degree fever, should we call for an ambulance?,佢發緊41度高燒，使唔使call白車？
Employment Ordinance, Chapter 57, Hong Kong Laws,香港法例第57章僱傭條例
After a few years in jail, Siu Ming eventually turns over a new leaf.,小明坐咗幾年監之後終於從良喇。
The adjacent building site under construction is so noisy as piles are driven into the earth every day.,隔籬個地盤起大廈，日日打樁嘈到死。
I'm not free today so I can't go out with you.,我今日唔得閒，所以同唔到你出街。
She has the best cooking skills in our class, winning praises from all of us.,佢係班裏面嘅廚神，我哋對佢嘅手勢都讚不絕口。
Donating used clothes to the needy can help with their living and reduce waste. It is gaining two ends at once.,將啲舊衫送俾有需要嘅人，一方面可以幫人，另一方面又唔使嘥嘢，真係一舉兩得。
Sheren Tang Shui-man has won the Best Actress Award twice.,鄧萃雯曾經兩次奪得視后。
Even she had not finished her studies in secondary school yet, she had to work for her family to repay debts.,佢中學都未讀完，就要打工幫屋企還債。
Two months of summer vacation is good enough for me.,一連放咗兩個月暑假，夠晒皮嘍。
How can I get so much money to lend you in a sudden?,霎時間，我邊度揾咁多錢借俾你啊？
This shop is having an end-of-month bargain sale.,呢間舖月尾做緊特價。
It's not raining now, but it's better to be on the safe side and bring an umbrella.,而家冇落雨，但係都係帶把遮保險啲。
The clock is five minutes slow. Please set it to the correct time when you're free. Thanks!,個鐘慢咗一個字，得閒校返啱佢吖，唔該！
I have no idea how to hide the desktop icons after I upgraded the Microsoft Windows to version 10.,我upgrade咗做Win 10之後唔識點隱藏桌面圖示。
Do you know where I can withdraw cash nearby?,你知唔知附近邊度有得撳錢呀？
We will definitely do our best.,我哋一定會傾盡全力。
Some members withdraw from the discussion due to conflict of interest.,部份成員因為涉及利益衝突而避席討論。
to freeze eggs for in vitro fertilization,雪藏卵子以進行體外受孕
The main function of annuity is to provide a reliable income source for the investor.,年金嘅主要功能，係等買家日後可以有可靠嘅收入。
There are many who abuse others' sympathy by pretending to be disabled to get donations.,唔少人經常濫用他人嘅同情心，走去扮傷殘人士呃人捐錢。
Don't worry, everyone of us will be rooting for you.,放心啦，我哋個個都會幫你打氣㗎！
May I ask if the head of household is here? We have some issues about this house we want to discuss with him/her.,請問户主喺唔喺度？我哋有啲關於呢間屋嘅事想同佢傾返。
I have been very busy in a year and have no time for holidays.,年頭忙到年中，都冇時間放假。
This is the powdered milk that my son has been drinking.,我個仔飲開呢隻奶粉。
When she gets drunk, she sings casually.,佢飲醉酒就會亂咁唱歌。
Everyone has assembled in the lobby.,所有人已經喺大堂集合。
There are ninety days left before the Olympic Games start.,離奧運開幕尚有九十日。
In 1989, more than 2 million people from the 3 Baltic nations formed a human chain that is more than 600km long.,1989年，波羅的海三個國家有200萬人組成咗超過600公里嘅人鏈。
In recent years, more and more people pay attention to men's plight and stress,近年越嚟越多人關注男士面對嘅困境同壓力。
Who is the owner of the gift?,邊個係呢份禮物嘅主人呢？
He is a pioneer advocate for the country's reform.,佢係提倡國家改革嘅先行者。
I will never write simplified Chinese character even when I am taking exams.,我考試都唔會寫簡體字。
If others need help, we can give them a helping hand.,人哋需要幫手咪方便吓人囉。
The sunset glow yesterday was so beautiful.,昨晚落日的晚霞十分好看。
Oh! I had kicked you, my bad! My bad!,唉呀！踢到你添，罪過！罪過！
Charlie Chaplin was a master of mime.,查理‧卓別靈係默劇大師。
Before his interview, he bought a tailor-made suit.,佢去見工之前，特登度身訂造咗一套洋服。
This game is so fun; as a gamer, there is no reason not to join this game, right?,隻遊戲咁好玩，作為機迷冇理由唔跟機玩埋一份啩？
Your son always hangs out in the street.  Is he able to keep up with his school work?,你個仔成日顧住躝街，啲功課做唔做得掂㗎？
She packed all the things efficiently.,佢快手快腳執埋啲嘢。
Sorry, this is the lowest price we can offer.,唔好意思，呢個係底價，冇得再減喇。
If the boss is suspicious and jealous of the subordinates, it would be harmful to the co-operation.,如果上司猜忌下屬嘅話，會對合作產生不良嘅影響。
Although the ox-tongue pastry is very oily, it is very tasty.,雖然牛脷酥好油，但好好味。
Many people fled to Hong Kong during the last century.,上個世紀好多人逃亡嚟香港。
You don't look like you want to do this. Just speak your heart out.,你個樣好似好勉強噉喎，唔願做就出聲啦！
Since both of my parents are away on a business trip, I've nobody to answer to and I can go home late.,阿爸阿媽出trip，我就冇王管喇，我夜啲返屋企都得！
I feel very sorry to see she sick like this.,見到佢病成噉，我真係好難受。
How much stationery is in your pencil case?,你個筆袋有幾多件文具？
I like bananas and apples.,我鍾意香蕉同埋蘋果。
Mrs Chan, why are you dressed so young today?,陳太乜你今日着到咁young嘅？
You just barely passed all subjects, I wonder how you'll deal with the next grade.,你科科都掹車邊，我睇你點升班！
Damn it, it's gone too far!,弊家伙，今鋪過咗火！
He came to rescue people while suffering from the heavy rain, with a brave and persistent mind.,佢冒住暴雨去救人，心口掛個勇字。
The news of layoffs produced a great echo among the staff members.,裁員嘅消息喺員工之間引起好大嘅迴響。
We must resist the invading forces of our enemy.,我哋一定要抵抗外敵嘅入侵。
I bumped into the Chief Executive coincidentally, and immediately had a picture with her.,咁啱俾我碰上特首，我即刻同佢影相。
Upon learning about the incident, hospital officials immediately convened an emergency meeting.,醫院高層獲悉事件後，即刻召開咗緊急會議。
All the girls in my class are very tall.,我嗰班全部女仔都好高。
During my holidays, I like to go hiking in the outlying islands.,假期我鍾意去離島行山。
Cops are coming! Run!,有警察嚟啊，較腳啦！
The female driver looks like a fairy!,個女車長好有仙氣啊！
My health has significantly improved recently.,我近排身體好咗好多。
He always peeps at people when they are bathing.,佢成日偷窺人哋沖涼㗎。
I want him to feel it by himself how painful it is to wear high heels.,我想俾佢親身感受下着高踭鞋有幾辛苦。
You said you want to get into a good school, but now you play all day and not study at all,  words and deeds are not in accord, how can you pass the admission exam ?,你又話要考間好學校，依家又貪玩唔肯讀書，咁樣南轅北轍嘅做法，又點會考得好入學試呢？
Due to good growing conditions, the flowers are growing beautifully.,因為生長環境好，啲花生得好靚。
He doesn't look like a local at all; his skin is so white!,佢啲皮膚白雪雪，一啲都唔似係本地人。
As the sun rises, I heard rooster's crows coming from the outside of the house.,日出嗰時，屋外面傳嚟雞啼聲。
Scolding an angry person is the wrong way to placate him.,對一個怒火中燒嘅人惡言相向，無異於抱薪救火。
What should we give to the elderly as a gift on their decadeversary?,去拜壽送咩禮物俾老人家好？
What's the rush? There's no reward for being early.,咁猴擒做乜？早到又冇獎嘅。
The company has specially appointed several people to carry out the project.,公司已經有特定嘅人選去推行呢個計劃。
I wish I could share with you my deepest secrets one by one.,但願能夠將心聲同你一一講清楚。
Will associate degree holders feel they cannot adapt when entering university?,Asso入U會唔會適應唔到呢？
Property prices skyrocket by 30% this year.,今年樓價飆升咗三成。
Please don't believe her trick. I'm haven't cheating on you!,你唔好俾佢昆到啦！我冇一腳踏兩船呀！
By the time you give birth and raise your own children, you will understand your parents' mindset.,到你自己生兒育女嘅時候，就明白父母嘅心嘞！
That blob of green mucus he coughed out is gross.,佢咳出嗰笪綠色黏液好鶻突。
The polar bears and the cartoon characters have enriched the atmosphere of the Christmas season.,北極熊同卡通人物為聖誕加添氣氛。
She didn't wake up after the surgery and became a vegetable.,手術之後，佢冇醒到，變成咗植物人。
The unemployment rate dipped marginally last month to 6.5%.,失業率上月輕微下降至6.5%。
Don't give him money. He's a drug addict.,佢癮君子嚟，唔好畀錢佢。
It's nice to go to the beach to swim in summer.,夏天最好去海灘游水。
Hurry up! The customer is waiting.,快啲喇，個客等緊㗎！
The smell of vodka is much stronger than red wine.,伏特加嘅酒味濃烈過紅酒好多。
Lift up your head while walking to show your confidence!,行路嗰陣抬高你個頭，咁先顯得有自信！
